pool_id,chain,symbol,project,stablecoin,count
747c1d2a-c668-4682-b9f9-296708a3dd90,Ethereum,STETH,lido,False,889
46bd2bdf-6d92-4066-b482-e885ee172264,Ethereum,WEETH,ether.fi-stake,False,154
80b8bf92-b953-4c20-98ea-c9653ef2bb98,Ethereum,WBETH,binance-staked-eth,False,507
d4b3c522-6127-4b89-bedf-83641cdcd2eb,Ethereum,RETH,rocket-pool,False,657
e6435aae-cbe9-4d26-ab2c-a4d533db9972,Ethereum,WSTETH,aave-v3,False,636
db678df9-3281-4bc2-a8bb-01160ffd6d48,Ethereum,WEETH,aave-v3,False,206
7e382157-b1bc-406d-b17b-facba43b716e,Ethereum,WBTC,aave-v3,False,636
90d3f42a-8700-4b9f-baa8-090a3c4322c9,Tron,TRX,justlend,False,851
3b45941c-16cb-48c5-a490-16c6c4f1d86a,Ethereum,WSTETH,spark,False,543
66985a81-9c51-46ca-9977-42b4fe7bc6df,Ethereum,SUSDE,ethena,True,262
51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,Ethereum,WETH,makerdao,False,737
c8a24fee-ec00-4f38-86c0-9f6daebc4225,Ethereum,DAI,makerdao,True,698
31e2bebc-85e6-4974-b2e3-7f24675095cf,Tron,STRX,justlend,False,497
b9f2f00a-ba96-4589-a171-dde979a23d87,Ethereum,METH,mantle-staked-eth,False,322
54600482-cfb9-4dd9-a73b-342cffd4644a,Ethereum,WETH,makerdao,False,737
747b58ab-aefd-42e1-a312-01ad5a0ab7f5,BSC,WBNB,venus-core-pool,False,852
ccc467d1-bdf5-4062-81cd-7aed7dd9050b,Ethereum,WSTETH,makerdao,False,737
33c732f6-a78d-41da-af5b-ccd9fa5e52d5,Ethereum,RSETH,kelp-rseth,False,179
b1986007-81f3-4150-9565-94d5a4066ce4,Ethereum,CBBTC,aave-v3,False,44
87c8ee0d-b812-47c1-803f-f91a3907079e,BSC,BTCB,venus-core-pool,False,852
71418c17-d2aa-4eff-b68a-806fff9ec951,Tron,BTC,justlend,False,851
c1ca08e4-d618-415e-ad63-fcec58705469,Ethereum,WBTC,compound-v3,False,757
566c64cb-c1ec-4027-bb67-1e9326d6d48a,BSC,WBETH,binance-staked-eth,False,507
73016100-722f-4a2e-b223-c06098cde74a,Sui,XEC-SUI,turbos,False,1
e880e828-ca59-4ec6-8d4f-27182a4dc23d,Ethereum,WETH,aave-v3,False,636
0f45d730-b279-4629-8e11-ccb5cc3038b4,Ethereum,CBETH,coinbase-wrapped-staked-eth,False,656
24195b31-d749-445f-bf9e-b65aa025ebdd,Ethereum,WETH,spark,False,544
7fcd66fb-349f-4923-898a-4a303809cc42,BSC,BTCB,solv-funds,False,200
e705187b-da56-463d-a429-4e17bfb7e0d4,Solana,JUPSOL,kamino-lend,False,161
77020688-e1f9-443c-9388-e51ace15cc32,Ethereum,SFRXETH,frax-ether,False,657
30347261-b48b-4781-b394-081e630d49a9,Ethereum,SPDAI,morpho-blue,True,160
f388573e-5c0f-4dac-9f70-116a4aabaf17,Base,SUPEROETHB,origin-ether,False,56
ddd25534-e3d5-4e4e-9b99-d3102323ac61,Ethereum,WETH,liquity,False,738
90bfb3c2-5d35-4959-a275-ba5085b08aa3,Ethereum,ETHX,stader,False,452
1d876729-4445-4623-8b6b-c5290db5d100,Ethereum,WBTC,compound-v2,False,997
40e0d8b7-5eba-4d6c-a3c2-9ac375bcd4bf,Ethereum,WBTC,aave-v2,False,828
465d177e-3d0d-42c0-b5f5-31c857567135,Ethereum,LSETH,liquid-collective,False,283
ca2acc2d-6246-44aa-ae91-8725b2c62c7c,Ethereum,SWETH,swell-liquid-staking,False,505
f981a304-bb6c-45b8-b0c5-fd2f515ad23a,Ethereum,USDT,aave-v3,True,626
1da10c92-fd2e-4506-a4d1-8c8fa22ff744,Solana,JITOSOL,kamino-lend,False,352
7c5e69a4-2430-4fa2-b7cb-857f79d7d1bf,Arbitrum,WBTC,aave-v3,False,819
11e29b13-2042-403a-ab27-d27f23b37c33,Tron,STUSDT,stusdt,True,298
3790c3e5-8644-4f6b-8feb-12434d8b99f9,Avalanche,SAVAX,benqi-staked-avax,False,125
c014f300-aa84-43a1-95b7-d97ec4439acf,Solana,SOL-LOPE,orca,False,1
490006e3-284b-4107-9bb9-99906b7880b2,Aptos,APT,amnis-finance,False,376
eff9b43c-a80d-4bfc-9f9e-55e02a8ef619,Ethereum,RSWETH,swell-liquid-restaking,False,59
3df9ffeb-8c72-438c-a9ae-026488d8f2b2,Arbitrum,WEETH,aave-v3,False,199
0e458a5b-fd99-4667-8706-dd938934cb0c,Ethereum,STETH,aave-v2,False,828
f0eead86-5acd-41a9-93c9-b01766d120e6,Ethereum,FRAX-SDAI,curve-dex,True,312
bd335b46-3daf-4507-adb2-6fd4337ea33b,Ethereum,WBTC,makerdao,False,737
072f6554-daa7-4708-80ba-371b896a89db,Ethereum,WETH,compound-v3,False,757
59f6e25c-62ec-4014-a128-0d4d2528268e,Solana,SOL-PLAY,orca,False,2
7aa56058-0dd9-4a1d-b7d3-5c9d07e2146b,Solana,SOL-DIN,orca,False,1
53b3663f-9096-49df-8787-f6ea3b6d0612,Tron,USDD,justlend,True,851
44c94cb2-8af3-4b7a-8cb5-0784ddcf3471,Ethereum,WETH,makerdao,False,737
c5599b3a-ea73-4017-a867-72eb971301d1,Ethereum,WBTC-WETH,uniswap-v3,False,945
dccac7ad-e5a9-4897-80fa-a32c01680c5f,Solana,SOL-SPONGEV2,orca,False,1
f2726d05-1f8d-4b9c-80e3-43d03d85d117,Ethereum,WETH,aave-v2,False,828
51eb4b5c-6d62-42fe-99d6-92ba6eecd2d5,Ethereum,WSTETH,makerdao,False,737
9da8a761-eb0f-4d41-ad05-0ebb2ed82913,Ethereum,WEETH,spark,False,142
7f1ef751-7b88-420c-a49b-f5e1c81fbc46,Ethereum,FRAX-SDAI,convex-finance,True,233
bed5f04d-d921-4b88-87b6-8a9972201d29,Ethereum,SUSDE,pendle,True,44
6b28892f-0909-418d-b4bb-3106fff72449,Ethereum,SUSDE,pendle,True,44
01862226-c3a6-408f-b42c-0dfcca5436dd,Polygon,BET-USDT,uniswap-v3,False,148
4dab1166-614a-429a-831f-4af70fd29c7d,Ethereum,WBTC,makerdao,False,737
25171c4c-1877-449a-9f88-45a9f153ee31,Ethereum,DAI-USDC-USDT,curve-dex,True,992
b4210a91-1140-4c3c-b69f-a20240d1596f,BSC,BNB,lisusd,False,728
201e5f6e-cf75-4d0e-b07f-d58da3cee23a,Ethereum,WSTETH-AAVE,balancer-v2,False,268
1e5da7c6-59bb-49bd-9f97-4f4fceeffad4,Ethereum,WETH,compound-v2,False,997
8ac917c6-12fa-49df-aa0b-ced2ebe54e91,Ethereum,WISE-WETH,uniswap-v2,False,932
7ee6c38b-ac42-4388-88dc-389140276cf8,Ethereum,AAVE,aave-v3,False,636
03406d3a-fcc4-4fe3-8809-7a95222951b6,Ethereum,WBTC,spark,False,348
665dc8bc-c79d-4800-97f7-304bf368e547,Ethereum,USDC-WETH,uniswap-v3,False,925
47917c0b-795e-48ec-abec-4cd67a8bddc7,Solana,SOL-HAMSTER,orca,False,3
b847133f-f5d5-4692-b74e-d815d51988fc,Ethereum,LINK,aave-v3,False,636
9be76d1d-734c-435d-bcbf-f0d2704e84d0,Ethereum,PT-SUSDE-26DEC2024-DAI,morpho-blue,False,15
d19fdacb-e7ce-400c-b62d-d195fe4a84a9,Base,USDC-AERO,aerodrome-v1,False,301
abced696-4921-4bcc-9e1a-ac5164833e47,Ethereum,PT-SUSDE-27MAR2025-DAI,morpho-blue,False,15
57d30b9c-fc66-4ac2-b666-69ad5f410cce,Ethereum,ETH-STETH,curve-dex,False,990
4e6cd326-72d5-4680-8d2f-3481d50e8bb1,Ethereum,ETH+,reserve-protocol,False,486
03af06cd-c9a5-4a90-ae45-01abf907297a,Solana,SOL-FLOCK,orca,False,1
aa70268e-4b52-42bf-a116-608b370f9501,Ethereum,USDC,aave-v3,True,636
da5e182c-b440-4b80-ab54-c1bc94a4ffd4,Avalanche,SAVAX,benqi-lending,False,817
4df7d373-6214-4a73-9bd3-ca6e5683d846,Arbitrum,GMX,gmx-v1,False,892
